location_x,location_y,remaining_min,power_of_shot,game_season,lat/lng,home/away,remaining_sec,shot_id_number,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot
121,26,0,3,2000-01,"42.982923, -71.446094",MANU vs. LAC,1,65,32,1,Right Side(R),,8-16 ft.,shot - 44,
-10,91,10,4,2000-01,"42.982923, -71.446094",MANU vs. LAC,13,66,29,,Center(C),Goal Line,,,shot - 3
-119,36,9,1,2000-01,,MANU @ HOU,6,67,32,,Left Side(L),Mid Range,8-16 ft.,,shot - 3
231,57,8,1,2000-01,"29.740325, -95.365762",MANU @ HOU,17,68,43,0,Right Side(R),Right Corner,24+ ft.,shot - 21,
0,0,7,1,2000-01,"29.740325, -95.365762",MANU @ HOU,53,69,20,1,,Goal Area,Less Than 8 ft.,shot - 4,
,0,7,1,2000-01,"29.740325, -95.365762",MANU @ HOU,1,70,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
159,110,5,1,2000-01,"29.740325, -95.365762",MANU @ HOU,15,71,39,,Right Side(R),Mid Range,16-24 ft.,shot - 9,
7,257,3,1,2000-01,"29.740325, -95.365762",MANU @ HOU,11,72,45,,Center(C),Penalty Spot,24+ ft.,,shot - 3
0,,7,2,2000-01,"29.740325, -95.365762",MANU @ HOU,56,73,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
51,57,2,2,2000-01,"29.740325, -95.365762",MANU @ HOU,40,74,27,0,Center(C),,Less Than 8 ft.,shot - 0,
167,190,0,2,2000-01,"29.740325, -95.365762",MANU @ HOU,,,45,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 1,
-119,190,11,3,2000-01,"29.740325, -95.365762",MANU @ HOU,2,76,42,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 36,
16,57,9,3,2000-01,"29.740325, -95.365762",MANU @ HOU,10,77,,0,Center(C),Goal Line,Less Than 8 ft.,shot - 1,
-84,110,7,3,2000-01,"29.740325, -95.365762",MANU @ HOU,24,78,33,0,Left Side(L),Mid Range,8-16 ft.,shot - 36,
-71,42,0,3,2000-01,"29.740325, -95.365762",MANU @ HOU,1,79,28,0,Left Side(L),Goal Line,8-16 ft.,shot - 2,
58,47,11,4,2000-01,"29.740325, -95.365762",MANU @ HOU,49,80,27,,Center(C),Goal Line,Less Than 8 ft.,shot - 22,
30,133,5,4,2000-01,"29.740325, -95.365762",MANU @ HOU,1,81,33,1,Center(C),Goal Line,8-16 ft.,shot - 20,
1,156,0,4,2000-01,"29.740325, -95.365762",MANU @ HOU,46,82,35,0,Center(C),Mid Range,8-16 ft.,,shot - 3
132,211,11,1,2000-01,"29.444994, -98.524120",MANU @ SAS,41,83,44,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 15,
-8,4,,1,2000-01,"29.444994, -98.524120",MANU @ SAS,59,84,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 12,
-29,70,9,1,2000-01,,MANU @ SAS,48,85,27,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-124,49,7,,2000-01,"29.444994, -98.524120",MANU @ SAS,26,86,33,,Left Side(L),Mid Range,8-16 ft.,,shot - 3
132,127,6,1,2000-01,"29.444994, -98.524120",MANU @ SAS,36,87,38,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 10,
-29,188,,1,2000-01,"29.444994, -98.524120",MANU @ SAS,54,88,39,1,Center(C),,16-24 ft.,shot - 10,
140,76,2,1,2000-01,"29.444994, -98.524120",MANU @ SAS,24,89,35,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
140,0,1,1,2000-01,,MANU @ SAS,48,90,34,1,Right Side(R),Mid Range,8-16 ft.,shot - 15,
-1,156,1,1,2000-01,"29.444994, -98.524120",MANU @ SAS,25,91,35,1,Center(C),Mid Range,8-16 ft.,,shot - 3
-151,4,0,1,2000-01,,MANU @ SAS,47,92,35,,Left Side(L),Mid Range,8-16 ft.,shot - 54,
110,76,,2,2000-01,"29.444994, -98.524120",MANU @ SAS,57,93,33,0,Right Side(R),,8-16 ft.,,shot - 3
132,87,9,2,2000-01,"29.444994, -98.524120",MANU @ SAS,37,94,35,0,Right Side(R),,8-16 ft.,shot - 49,
,4,4,2,2000-01,"29.444994, -98.524120",MANU @ SAS,25,95,33,,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-58,251,3,2,2000-01,"29.444994, -98.524120",MANU @ SAS,50,96,45,1,Center(C),Penalty Spot,24+ ft.,,shot - 3
-94,160,3,2,,"29.444994, -98.524120",MANU @ SAS,15,,38,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 12,
-193,150,0,2,2000-01,"29.444994, -98.524120",MANU @ SAS,,98,44,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 51,
140,0,0,,2000-01,"29.444994, -98.524120",MANU @ SAS,48,99,34,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
,9,11,3,2000-01,"29.444994, -98.524120",,,100,24,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
24,150,9,3,2000-01,"29.444994, -98.524120",MANU @ SAS,20,101,35,0,Center(C),Mid Range,8-16 ft.,shot - 0,
-1,0,7,3,2000-01,"29.444994, -98.524120",MANU @ SAS,53,102,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
119,133,6,3,2000-01,"29.444994, -98.524120",MANU @ SAS,40,103,37,1,Right Side Center(RC),,16-24 ft.,shot - 54,
-101,137,4,3,2000-01,"29.444994, -98.524120",MANU @ SAS,16,104,37,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 52,
119,19,3,3,2000-01,"29.444994, -98.524120",MANU @ SAS,0,105,32,0,Right Side(R),Mid Range,,shot - 15,
-193,42,0,3,2000-01,"29.444994, -98.524120",MANU @ SAS,48,106,39,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
-166,55,0,3,2000-01,"29.444994, -98.524120",MANU @ SAS,21,107,37,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
24,116,10,4,2000-01,"29.444994, -98.524120",MANU @ SAS,39,108,31,0,Center(C),Goal Line,8-16 ft.,,shot - 3
-65,156,7,4,2000-01,"29.444994, -98.524120",MANU @ SAS,8,109,36,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-166,26,6,4,2000-01,"29.444994, -98.524120",MANU @ SAS,25,110,36,1,Left Side(L),Mid Range,16-24 ft.,,shot - 3
-58,76,5,4,2000-01,"29.444994, -98.524120",MANU @ SAS,14,111,29,0,Left Side(L),Goal Line,8-16 ft.,,shot - 3
-37,70,3,4,2000-01,"29.444994, -98.524120",MANU @ SAS,38,,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-151,150,0,4,2000-01,"29.444994, -98.524120",MANU @ SAS,43,113,41,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 49,
-94,188,11,1,,"42.982923, -71.446094",MANU vs. HOU,9,114,41,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 17,
0,0,10,1,2000-01,"42.982923, -71.446094",MANU vs. HOU,17,115,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
0,0,,1,2000-01,"42.982923, -71.446094",,23,116,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 46,
0,,9,1,2000-01,"42.982923, -71.446094",,21,117,20,0,Center(C),Goal Area,,,shot - 5
0,0,3,1,,,MANU vs. HOU,2,118,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
,0,0,1,2000-01,"42.982923, -71.446094",MANU vs. HOU,44,119,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
85,141,0,1,2000-01,"42.982923, -71.446094",,21,120,36,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
,158,8,2,2000-01,"42.982923, -71.446094",MANU vs. HOU,50,121,38,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 36,
0,0,8,2,,"42.982923, -71.446094",MANU vs. HOU,18,122,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 32,
-155,,2,2,,,MANU vs. HOU,40,123,36,,,Mid Range,16-24 ft.,shot - 4,
,,0,2,,"42.982923, -71.446094",MANU vs. HOU,,124,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 54,
1,276,0,2,2000-01,"42.982923, -71.446094",MANU vs. HOU,4,125,47,1,Center(C),Penalty Spot,,,shot - 3
-96,,9,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,59,126,36,,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
155,-8,8,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,38,127,35,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-155,13,5,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,18,128,35,1,Left Side(L),Mid Range,8-16 ft.,,shot - 3
-84,133,4,3,2000-01,,MANU vs. HOU,34,129,35,0,Left Side(L),Mid Range,8-16 ft.,shot - 42,
-178,-8,3,3,2000-01,"42.982923, -71.446094",,51,130,37,0,Left Side(L),Mid Range,16-24 ft.,shot - 12,
16,89,3,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,40,131,29,0,Center(C),Goal Line,8-16 ft.,shot - 21,
-48,106,3,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,33,132,31,1,Center(C),Goal Line,8-16 ft.,,shot - 3
0,0,2,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,56,133,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 46,
-170,13,2,3,2000-01,"42.982923, -71.446094",MANU vs. HOU,5,134,37,,Left Side(L),Mid Range,16-24 ft.,,shot - 3
-119,133,0,3,,"42.982923, -71.446094",MANU vs. HOU,14,135,37,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
9,40,10,4,2000-01,"42.982923, -71.446094",MANU vs. HOU,52,136,24,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-84,82,6,4,,"42.982923, -71.446094",MANU vs. HOU,34,137,31,0,Left Side(L),Mid Range,8-16 ft.,,shot - 3
9,59,4,4,2000-01,"42.982923, -71.446094",MANU vs. HOU,57,138,25,0,Center(C),Goal Line,Less Than 8 ft.,shot - 17,
0,0,3,4,2000-01,"42.982923, -71.446094",MANU vs. HOU,28,139,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
9,59,1,4,,"42.982923, -71.446094",MANU vs. HOU,38,140,25,1,Center(C),Goal Line,Less Than 8 ft.,shot - 44,
45,36,1,4,2000-01,"42.982923, -71.446094",MANU vs. HOU,5,141,25,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
0,0,1,4,,,MANU vs. HOU,3,142,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 5
0,0,7,1,2000-01,"42.982923, -71.446094",MANU vs. DEN,43,143,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
237,11,4,1,2000-01,"42.982923, -71.446094",MANU vs. DEN,52,144,43,,Right Side(R),Right Corner,24+ ft.,shot - 45,
0,0,3,1,2000-01,"42.982923, -71.446094",,8,145,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
129,-4,2,1,2000-01,"42.982923, -71.446094",MANU vs. DEN,25,146,32,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-98,97,0,1,2000-01,"42.982923, -71.446094",MANU vs. DEN,48,147,33,1,Left Side(L),Mid Range,8-16 ft.,shot - 0,
167,78,11,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,16,148,38,0,Right Side(R),Mid Range,16-24 ft.,shot - 11,
108,249,10,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,19,149,47,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
0,,10,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,5,150,,,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
100,175,9,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,7,151,40,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
7,169,4,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,14,152,36,,Center(C),Mid Range,16-24 ft.,shot - 32,
0,0,3,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,22,153,,,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
0,0,1,2,,"42.982923, -71.446094",MANU vs. DEN,54,154,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,28,155,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
0,0,0,2,2000-01,"42.982923, -71.446094",MANU vs. DEN,26,156,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 5
115,169,10,3,2000-01,"42.982923, -71.446094",MANU vs. DEN,23,157,40,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
1,72,5,3,2000-01,"42.982923, -71.446094",MANU vs. DEN,23,158,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
0,0,3,3,2000-01,"42.982923, -71.446094",MANU vs. DEN,53,,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 24,
0,0,0,3,2000-01,"42.982923, -71.446094",MANU vs. DEN,37,160,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 32,
113,230,,,2000-01,"42.982923, -71.446094",MANU vs. DEN,43,161,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
0,0,10,4,2000-01,"42.982923, -71.446094",MANU vs. DEN,28,162,20,1,Center(C),Goal Area,,,shot - 4
0,0,10,4,2000-01,"42.982923, -71.446094",MANU vs. DEN,11,163,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 12,
0,0,5,4,2000-01,"42.982923, -71.446094",MANU vs. DEN,37,164,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,5,4,2000-01,"42.982923, -71.446094",MANU vs. DEN,32,165,,,Center(C),Goal Area,Less Than 8 ft.,shot - 56,
98,194,11,1,2000-01,"38.567296, -121.456638",MANU @ SAC,42,166,41,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 54,
-117,184,,1,2000-01,"38.567296, -121.456638",MANU @ SAC,7,167,41,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
,-2,8,1,2000-01,"38.567296, -121.456638",MANU @ SAC,53,168,36,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
70,36,8,1,2000-01,"38.567296, -121.456638",MANU @ SAC,16,169,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
0,0,7,1,2000-01,"38.567296, -121.456638",MANU @ SAC,43,170,,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-37,42,2,1,2000-01,"38.567296, -121.456638",MANU @ SAC,47,171,25,1,,Goal Line,Less Than 8 ft.,shot - 12,
70,194,1,1,2000-01,"38.567296, -121.456638",MANU @ SAC,36,172,40,,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
163,116,1,1,,"38.567296, -121.456638",MANU @ SAC,,173,40,0,Right Side(R),Mid Range,16-24 ft.,shot - 2,
113,179,8,2,2000-01,"38.567296, -121.456638",MANU @ SAC,13,174,41,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 11,
169,-2,6,2,2000-01,"38.567296, -121.456638",MANU @ SAC,27,175,36,1,Right Side(R),Mid Range,16-24 ft.,,shot - 3
91,156,0,2,2000-01,"38.567296, -121.456638",MANU @ SAC,52,176,38,0,,Mid Range,16-24 ft.,,shot - 3
134,93,0,2,,"38.567296, -121.456638",,19,177,36,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
47,477,0,2,,"38.567296, -121.456638",MANU @ SAC,0,178,67,0,Mid Ground(MG),Mid Ground Line,Back Court Shot,,shot - 3
11,137,8,3,2000-01,"38.567296, -121.456638",MANU @ SAC,52,179,33,0,Center(C),Goal Line,,,shot - 3
199,13,2,3,2000-01,"38.567296, -121.456638",MANU @ SAC,55,180,39,0,Right Side(R),Mid Range,16-24 ft.,shot - 36,
,236,0,3,2000-01,"38.567296, -121.456638",MANU @ SAC,1,181,44,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
0,0,11,4,2000-01,"38.567296, -121.456638",MANU @ SAC,44,182,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 1,
11,247,,4,2000-01,"38.567296, -121.456638",MANU @ SAC,18,183,44,0,Center(C),Penalty Spot,24+ ft.,,shot - 3
-103,230,5,4,2000-01,"38.567296, -121.456638",MANU @ SAC,43,184,45,0,Left Side Center(LC),Penalty Spot,,,shot - 3
-31,247,0,4,2000-01,"38.567296, -121.456638",MANU @ SAC,2,185,44,1,,Penalty Spot,24+ ft.,shot - 24,
-10,99,2,5,2000-01,"38.567296, -121.456638",MANU @ SAC,5,186,29,1,Center(C),Goal Line,8-16 ft.,shot - 46,
13,100,2,5,2000-01,"38.567296, -121.456638",MANU @ SAC,,187,30,0,Center(C),Goal Line,8-16 ft.,shot - 4,
-73,200,0,5,2000-01,"38.567296, -121.456638",MANU @ SAC,24,188,41,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 11,
,184,10,1,2000-01,"39.739968, -104.954013",MANU @ DEN,5,189,39,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 49,
188,177,9,1,2000-01,"39.739968, -104.954013",MANU @ DEN,7,190,45,0,Right Side Center(RC),,24+ ft.,,shot - 3
0,0,8,1,,"39.739968, -104.954013",MANU @ DEN,15,191,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
174,-6,6,1,2000-01,,MANU @ DEN,24,192,37,,Right Side(R),Mid Range,16-24 ft.,shot - 47,
0,0,6,1,,"39.739968, -104.954013",MANU @ DEN,2,193,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
-128,137,4,1,2000-01,"39.739968, -104.954013",MANU @ DEN,22,194,38,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 3,
0,0,4,1,2000-01,"39.739968, -104.954013",MANU @ DEN,9,195,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 1,
153,4,0,1,2000-01,"39.739968, -104.954013",MANU @ DEN,18,196,35,,Right Side(R),Mid Range,8-16 ft.,shot - 14,
1,93,11,2,2000-01,"39.739968, -104.954013",MANU @ DEN,19,197,29,0,Center(C),Goal Line,8-16 ft.,,shot - 3
115,160,6,2,2000-01,"39.739968, -104.954013",MANU @ DEN,51,198,39,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
159,200,6,2,2000-01,"39.739968, -104.954013",MANU @ DEN,11,199,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 53,
167,0,0,2,2000-01,"39.739968, -104.954013",MANU @ DEN,,200,36,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
-162,245,11,3,2000-01,"39.739968, -104.954013",MANU @ DEN,17,201,49,0,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
